"codigo","mpio","year","rural","urbana"
"13244","El Carmen de Bolívar",2022,20750,53686
"13248","El Guamo",2022,4341,4871
"13268","El Peñón",2022,5299,2982
"13300","Hatillo de Loba",2022,10149,3196
"13430","Magangué",2022,45870,97840
"13433","Mahates",2022,19589,10516
"13440","Margarita",2022,9671,1721
"13442","María La Baja",2022,28401,21285
"13458","Montecristo",2022,13999,4055
"13468","Mompós",2022,23848,23737
"13473","Morales",2022,16461,7479
"13490","Norosí",2022,7842,2365
"13549","Pinillos",2022,21810,3523
"13580","Regidor",2022,2811,4601
"13600","Río Viejo",2022,5689,5319
"13620","San Cristóbal",2022,2090,6698
"13647","San Estanislao",2022,6641,12972
"13650","San Fernando",2022,11296,2059
"13654","San Jacinto",2022,3589,21586
"13655","San Jacinto del Cauca",2022,8289,2626
"13657","San Juan Nepomuceno",2022,10495,29011
"13667","San Martín de Loba",2022,7932,7343
"13670","San Pablo",2022,5951,23525
"13673","Santa Catalina",2022,9493,5834
"13683","Santa Rosa",2022,2244,20738
"13688","Santa Rosa del Sur",2022,14224,21228
"13744","Simití",2022,13410,6222
"13760","Soplaviento",2022,214,10900
"13780","Talaigua Nuevo",2022,7165,6350
"13810","Tiquisio",2022,13088,6433
"13836","Turbaco",2022,10150,106190
"13838","Turbaná",2022,4632,13225
"13873","Villanueva",2022,3645,22231
"13894","Zambrano",2022,1706,10928
"15000","Boyacá",2022,500742,758859
"15001","Tunja",2022,7719,173991
"15022","Almeida",2022,1458,373
"15047","Aquitania",2022,9427,6328
"15051","Arcabuco",2022,3464,2596
"15087","Belén",2022,2871,4762
"15090","Berbeo",2022,1141,462
"15092","Betéitiva",2022,1578,383
"15097","Boavita",2022,2482,2380
"15104","Boyacá",2022,4280,907
"15106","Briceño",2022,1647,545
"15109","Buenavista",2022,3566,889
"15114","Busbanzá",2022,690,479
"15131","Caldas",2022,2834,334
"15135","Campohermoso",2022,2239,863
"15162","Cerinza",2022,1993,1763
"15172","Chinavita",2022,1931,1306
"15176","Chiquinquirá",2022,6853,51873
"15180","Chiscas",2022,2982,957
"15183","Chita",2022,5738,2160
"15185","Chitaraque",2022,4609,1335
"15187","Chivatá",2022,2320,552
"15189","Ciénega",2022,3360,1358
"15204","Cómbita",2022,11794,1667
"15212","Coper",2022,2644,975
"15215","Corrales",2022,949,1630
"15218","Covarachía",2022,2181,557
"15223","Cubará",2022,8365,2532
"15224","Cucaita",2022,2237,1601
"15226","Cuítiva",2022,1531,303
"15232","Chíquiza",2022,4352,456
"15236","Chivor",2022,1822,738
"15238","Duitama",2022,14208,114192
"15244","El Cocuy",2022,1890,2280
"15248","El Espino",2022,1666,1429
"15272","Firavitoba",2022,4228,2667
"15276","Floresta",2022,2015,1259
"15293","Gachantivá",2022,2174,641
"15296","Gámeza",2022,3486,1430
"15299","Garagoa",2022,5404,13168
"15317","Guacamayas",2022,1193,666
"15322","Guateque",2022,3104,7947
"15325","Guayatá",2022,2229,1208
"15332","Güicán",2022,2919,1440
"15362","Iza",2022,780,1242
"15367","Jenesano",2022,5502,1935
"15368","Jericó",2022,2611,1330
"15377","Labranzagrande",2022,2290,1250
"15380","La Capilla",2022,1632,1095
"15401","La Victoria",2022,693,439
"15403","La Uvita",2022,1479,1288
"15407","Villa de Leyva",2022,8517,8688
"15425","Macanal",2022,3845,1295
"15442","Maripí",2022,4841,918
"15455","Miraflores",2022,3485,5651
"15464","Mongua",2022,2593,2088
"15466","Monguí",2022,1979,2371
"15469","Moniquirá",2022,10912,12434
"15476","Motavita",2022,4845,936
"15480","Muzo",2022,2805,5702
"15491","Nobsa",2022,11051,5620
"15494","Nuevo Colón",2022,4132,1155
"15500","Oicatá",2022,2440,489
"15507","Otanche",2022,4368,3744
"15511","Pachavita",2022,1890,584
"15514","Páez",2022,1826,1462
"15516","Paipa",2022,13317,21836
"15518","Pajarito",2022,1403,1043
"15522","Panqueba",2022,850,870
"15531","Pauna",2022,5009,2300
"15533","Paya",2022,2075,595
"15537","Paz de Río",2022,1432,2822
"15542","Pesca",2022,4431,2390
"15550","Pisba",2022,1216,601
"15572","Puerto Boyacá",2022,13610,35320
"15580","Quípama",2022,3564,1485
"15599","Ramiriquí",2022,5804,4408
"15600","Ráquira",2022,5446,2690
"15621","Rondón",2022,1730,675
"15632","Saboyá",2022,12696,1339
"15638","Sáchica",2022,2931,2824
"15646","Samacá",2022,11213,7862
"15660","San Eduardo",2022,887,795
"15664","San José de Pare",2022,3932,1134
"15667","San Luis de Gaceno",2022,2991,2556
"15673","San Mateo",2022,1948,1225
"15676","San Miguel de Sema",2022,2560,492
"15681","San Pablo de Borbur",2022,5881,925
"15686","Santana",2022,5033,2781
"15690","Santa María",2022,1415,2130
"15693","Santa Rosa de Viterbo",2022,5164,8340
"15696","Santa Sofía",2022,2138,1117
"15720","Sativanorte",2022,1455,727
"15723","Sativasur",2022,787,333
"15740","Siachoque",2022,5580,1285
"15753","Soatá",2022,2425,6526
"15755","Socotá",2022,5672,1636
"15757","Socha",2022,3690,4505
"15759","Sogamoso",2022,14912,117983
"15761","Somondoco",2022,2194,725
"15762","Sora",2022,2546,572
"15763","Sotaquirá",2022,7307,1110
"15764","Soracá",2022,4461,1689
"15774","Susacón",2022,2067,673
"15776","Sutamarchán",2022,3953,2360
"15778","Sutatenza",2022,3435,844
"15790","Tasco",2022,4106,1764
"15798","Tenza",2022,2644,1228
"15804","Tibaná",2022,7272,1970
"15806","Tibasosa",2022,8883,4696
"15808","Tinjacá",2022,2546,851
"15810","Tipacoque",2022,2320,1014
"15814","Toca",2022,4465,4548
"15816","Togüí",2022,3671,722
"15820","Tópaga",2022,2579,1168
"15822","Tota",2022,4298,1005
"15832","Tununguá",2022,1292,306
"15835","Turmequé",2022,3999,2240
"15837","Tuta",2022,5939,2638
"15839","Tutazá",2022,1846,220
"15842","Umbita",2022,6424,1230
"15861","Ventaquemada",2022,13471,2842
"15879","Viracachá",2022,2359,488
"15897","Zetaquira",2022,3379,1308
"17000","Caldas",2022,243573,792882
"17001","Manizales",2022,24627,429450
"17013","Aguadas",2022,10980,12472
"17042","Anserma",2022,15442,21893
"17050","Aranzazu",2022,3475,7266
"17088","Belalcázar",2022,5803,5034
"17174","Chinchiná",2022,5903,47281
"17272","Filadelfia",2022,7286,4314
"17380","La Dorada",2022,9045,66274
"17388","La Merced",2022,3597,2388
"17433","Manzanares",2022,7145,10961
"17442","Marmato",2022,7974,1356
"17444","Marquetalia",2022,6690,7037
"17446","Marulanda",2022,1707,882
"17486","Neira",2022,8893,12591
"17495","Norcasia",2022,1928,4307
"17513","Pácora",2022,7576,8017
"17524","Palestina",2022,10294,5662
"17541","Pensilvania",2022,11502,8600
"17614","Riosucio",2022,32508,20370
"17616","Risaralda",2022,6050,4703
"17653","Salamina",2022,7659,12074
"17662","Samaná",2022,13488,6829
"17665","San José",2022,3503,1499
"17777","Supía",2022,14993,14891
"17867","Victoria",2022,5762,4771
"17873","Villamaría",2022,7848,60777
"17877","Viterbo",2022,1895,11183
"18000","Caquetá",2022,144293,274982
"18001","Florencia",2022,20592,156114
"18029","Albania",2022,2291,2198
"18094","Belén de Los Andaquíes",2022,4230,7188
"18150","Cartagena del Chairá",2022,14916,16901
"18205","Curillo",2022,2353,5585
"18247","El Doncello",2022,5849,13843
"18256","El Paujil",2022,9371,9488
"18410","La Montañita",2022,12147,2856
"18460","Milán",2022,8991,1174
"18479","Morelia",2022,1706,2120
"18592","Puerto Rico",2022,11614,15224
"18610","San José del Fragua",2022,6440,6939
"18753","San Vicente del Caguán",2022,27807,25910
"18756","Solano",2022,8700,3049
"18785","Solita",2022,2544,3936
"18860","Valparaíso",2022,4742,2457
"19000","Cauca",2022,970294,545724
"19001","Popayán",2022,59631,271119
"19022","Almaguer",2022,17339,1129
"19050","Argelia",2022,24510,2503
"19075","Balboa",2022,16439,5341
"19100","Bolívar",2022,32964,4622
"19110","Buenos Aires",2022,31639,929
"19130","Cajibío",2022,41694,1833
"19137","Caldono",2022,40640,1807
"19142","Caloto",2022,25557,5142
"19212","Corinto",2022,13253,12594
"19256","El Tambo",2022,52094,2535
"19290","Florencia",2022,4182,1207
"19300","Guachené",2022,13787,6553
"19318","Guapi",2022,14082,14057
"19355","Inzá",2022,28876,1042
"19364","Jambaló",2022,17078,1791
"19392","La Sierra",2022,9112,1713
"19397","La Vega",2022,24223,813
"19418","López",2022,17500,1739
"19450","Mercaderes",2022,17576,5891
"19455","Miranda",2022,14182,18420
"19473","Morales",2022,38611,2122
"19513","Padilla",2022,5671,4481
"19517","Paéz",2022,45098,2401
"19532","Patía",2022,24509,13585
"19533","Piamonte",2022,7264,2145
"19548","Piendamó",2022,28235,14280
"19573","Puerto Tejada",2022,6131,36331
"19585","Puracé",2022,16285,1565
"19622","Rosas",2022,10725,999
"19693","San Sebastián",2022,10668,571
"19698","Santander de Quilichao",2022,61918,52914
"19701","Santa Rosa",2022,4833,636
"19743","Silvia",2022,34573,4107
"19760","Sotará",2022,14003,437
"19780","Suárez",2022,26977,6076
"19785","Sucre",2022,8236,1590
"19807","Timbío",2022,22256,14619
"19809","Timbiquí",2022,20855,6183
"19821","Toribío",2022,35154,2135
"19824","Totoró",2022,24912,1115
"19845","Villa Rica",2022,7022,14652
"20000","Cesar",2022,335316,1006381
"20001","Valledupar",2022,67595,484453
"20011","Aguachica",2022,16112,106790
"20013","Agustín Codazzi",2022,14642,52337
"20032","Astrea",2022,10242,11570
"20045","Becerril",2022,6181,17957
"20060","Bosconia",2022,2884,41994
"20175","Chimichagua",2022,22634,14885
"20178","Chiriguaná",2022,12521,18166
"20228","Curumaní",2022,12218,28862
"20238","El Copey",2022,8223,24554
"20250","El Paso",2022,34884,7438
"20295","Gamarra",2022,5711,10718
"20310","González",2022,3317,1414
"20383","La Gloria",2022,12461,6644
"20400","La Jagua de Ibirico",2022,12232,40539
"20443","Manaure",2022,1924,9297
"20517","Pailitas",2022,5185,15222
"20550","Pelaya",2022,7139,15946
"20570","Pueblo Bello",2022,20890,9601
"20614","Río de Oro",2022,9879,8548
"20621","La Paz",2022,9078,21579
"20710","San Alberto",2022,5975,23497
"20750","San Diego",2022,9707,11492
"20770","San Martín",2022,13601,16193
"20787","Tamalameque",2022,10081,6685
"23000","Córdoba",2022,898692,957804
"23001","Montería",2022,112921,400073
"23068","Ayapel",2022,20005,27949
"23079","Buenavista",2022,13902,7870
"23090","Canalete",2022,11806,3862
"23162","Cereté",2022,49393,60639
"23168","Chimá",2022,14482,3691
"23182","Chinú",2022,29400,20022
"23189","Ciénaga de Oro",2022,39116,22310
"23300","Cotorra",2022,13729,6116
"23350","La Apartada",2022,3750,11696
"23417","Lorica",2022,62555,54633
"23419","Los Córdobas",2022,15831,3776
"23464","Momil",2022,8485,11937
"23466","Montelíbano",2022,22755,64432
"23500","Moñitos",2022,24728,6319
"23555","Planeta Rica",2022,24096,41649
"23570","Pueblo Nuevo",2022,26798,10234
"23574","Puerto Escondido",2022,20584,4149
"23580","Puerto Libertador",2022,30779,13454
"23586","Purísima",2022,10677,7173
"23660","Sahagún",2022,57676,54206
"23670","San Andrés Sotavento",2022,38965,9795
"23672","San Antero",2022,19421,16145
"23675","San Bernardo del Viento",2022,28698,8931
"23678","San Carlos",2022,23230,4547
"23682","San José de Ure",2022,8788,5235
"23686","San Pelayo",2022,44807,8979
"23807","Tierralta",2022,52913,43707
"23815","Tuchín",2022,48307,7484
"23855","Valencia",2022,20095,16791
"25000","Cundinamarca",2022,845641,2632682
"25001","Agua de Dios",2022,2642,10575
"25019","Albán",2022,5042,2335
"25035","Anapoima",2022,9355,7872
"25040","Anolaima",2022,10139,5494
"25053","Arbeláez",2022,6240,5513
"25086","Beltrán",2022,1494,528
"25095","Bituima",2022,2105,649
"25099","Bojacá",2022,2084,9814
"25120","Cabrera",2022,3895,1534
"25123","Cachipay",2022,6911,4567
"25126","Cajicá",2022,29031,70689
"25148","Caparrapí",2022,9754,4177
"25151","Cáqueza",2022,9663,9594
"25154","Carmen de Carupa",2022,5571,2944
"25168","Chaguaní",2022,3360,1320
"25175","Chía",2022,25394,135041
"25178","Chipaque",2022,7131,3655
"25181","Choachí",2022,6989,5374
"25183","Chocontá",2022,10049,13843
"25200","Cogua",2022,15590,10614
"25214","Cota",2022,12648,27031
"25224","Cucunubá",2022,7042,1813
"25245","El Colegio",2022,14653,13419
"25258","El Peñón",2022,4185,951
"25260","El Rosal",2022,2295,24272
"25269","Facatativá",2022,10955,156354
"25279","Fómeque",2022,6937,6793
"25281","Fosca",2022,4567,1908
"25286","Funza",2022,1826,110894
"25288","Fúquene",2022,5059,529
"25290","Fusagasugá",2022,21623,143717
"25293","Gachalá",2022,2860,1864
"25295","Gachancipá",2022,5836,14948
"25297","Gachetá",2022,4941,4216
"25299","Gama",2022,2433,1014
"25307","Girardot",2022,3916,113828
"25312","Granada",2022,5823,2682
"25317","Guachetá",2022,7764,7508
"25320","Guaduas",2022,17444,18173
"25322","Guasca",2022,9834,8326
"25324","Guataquí",2022,1501,1472
"25326","Guatavita",2022,4331,2973
"25328","Guayabal de Síquima",2022,3639,1448
"25335","Guayabetal",2022,4561,2671
"25339","Gutiérrez",2022,2509,1316
"25368","Jerusalén",2022,1479,1004
"25372","Junín",2022,5188,1326
"25377","La Calera",2022,17314,17987
"25386","La Mesa",2022,16578,22168
"25394","La Palma",2022,5456,5065
"25398","La Peña",2022,5028,1508
"25402","La Vega",2022,11536,8456
"25407","Lenguazaque",2022,7726,3850
"25426","Machetá",2022,4527,2206
"25430","Madrid",2022,6348,130026
"25436","Manta",2022,2817,1358
"25438","Medina",2022,3564,5242
"25473","Mosquera",2022,1960,159650
"25483","Nariño",2022,694,1948
"25486","Nemocón",2022,7361,8224
"25488","Nilo",2022,8747,4155
"25489","Nimaima",2022,2981,1055
"25491","Nocaima",2022,4483,2554
"25506","Venecia",2022,3160,1611
"25513","Pacho",2022,11737,15935
"25518","Paime",2022,3780,809
"25524","Pandi",2022,4149,1571
"25530","Paratebueno",2022,5218,4668
"25535","Pasca",2022,6597,3726
"25572","Puerto Salgar",2022,4342,13536
"25580","Pulí",2022,2711,976
"25592","Quebradanegra",2022,4486,798
"25594","Quetame",2022,3836,1864
"25596","Quipile",2022,5880,1129
"25599","Apulo",2022,4947,4434
"25612","Ricaurte",2022,6239,9172
"25645","San Antonio del Tequendama",2022,11862,1896
"25649","San Bernardo",2022,5146,4489
"25653","San Cayetano",2022,4301,1038
"25658","San Francisco",2022,6912,5790
"25662","San Juan de Río Seco",2022,5381,3774
"25718","Sasaima",2022,8714,3641
"25736","Sesquilé",2022,8700,4861
"25740","Sibaté",2022,10204,29109
"25743","Silvania",2022,15712,9478
"25745","Simijaca",2022,5480,9600
"25754","Soacha",2022,4538,803750
"25758","Sopó",2022,8099,23007
"25769","Subachoque",2022,8299,9657
"25772","Suesca",2022,10034,10064
"25777","Supatá",2022,3780,2164
"25779","Susa",2022,4557,3022
"25781","Sutatausa",2022,4279,2629
"25785","Tabio",2022,16936,9028
"25793","Tausa",2022,7095,2186
"25797","Tena",2022,9892,1402
"25799","Tenjo",2022,13840,12001
"25805","Tibacuy",2022,4076,899
"25807","Tibirita",2022,2755,768
"25815","Tocaima",2022,6133,11681
"25817","Tocancipá",2022,27374,21661
"25823","Topaipí",2022,3544,1050
"25839","Ubalá",2022,6316,2037
"25841","Ubaque",2022,5886,1693
"25843","Villa de San Diego de Ubate",2022,10736,39573
"25845","Une",2022,3346,4559
"25851","Útica",2022,1883,2872
"25862","Vergara",2022,5900,1786
"25867","Vianí",2022,3071,1934
"25871","Villagómez",2022,1177,781
"25873","Villapinzón",2022,11323,8445
"25875","Villeta",2022,8976,22262
"25878","Viotá",2022,9255,5628
"25885","Yacopí",2022,9466,4008
"25898","Zipacón",2022,3655,1731
"25899","Zipaquirá",2022,24518,132465
"27000","Chocó",2022,311254,242265
"27001","Quibdó",2022,19032,113886
"27006","Acandí",2022,7884,6501
"27025","Alto Baudó",2022,25490,3261
"27050","Atrato",2022,3381,2927
"27073","Bagadó",2022,9053,2391
"27075","Bahía Solano",2022,4197,6246
"27077","Bajo Baudó",2022,24279,6680
"27099","Bojayá",2022,11514,1011
"27135","El Cantón del San Pablo",2022,3482,2906
"27150","Carmen del Darién",2022,17701,2124
"27160","Cértegui",2022,2503,3350
"27205","Condoto",2022,2827,9738
"27245","El Carmen de Atrato",2022,5880,2463
"27250","El Litoral del San Juan",2022,21663,1597
"27361","Istmina",2022,8657,22641
"27372","Juradó",2022,4507,2445
"27413","Lloró",2022,6722,3349
"27425","Medio Atrato",2022,10265,842
"27430","Medio Baudó",2022,13759,2178
"27450","Medio San Juan",2022,8378,2623
"27491","Nóvita",2022,5762,3488
"27495","Nuquí",2022,15544,1367
"27580","Río Iró",2022,4142,1540
"27600","Río Quito",2022,6313,2272
"27615","Riosucio",2022,41326,14800
"27660","San José del Palmar",2022,3858,1182
"27745","Sipí",2022,2551,720
"27787","Tadó",2022,7416,10783
"27800","Unguía",2022,9059,3968
"27810","Unión Panamericana",2022,4109,2986
"41000","Huila",2022,454085,686847
"41001","Neiva",2022,24501,345817
"41006","Acevedo",2022,21057,4656
"41013","Agrado",2022,3267,5815
"41016","Aipe",2022,5855,10963
"41020","Algeciras",2022,11897,11044
"41026","Altamira",2022,1987,2452
"41078","Baraya",2022,4475,3928
"41132","Campoalegre",2022,7729,24136
"41244","Elías",2022,2920,1451
"41298","Garzón",2022,35466,39887
"41306","Gigante",2022,15184,9943
"41319","Guadalupe",2022,13111,5491
"41349","Hobo",2022,1762,5745
"41357","Iquira",2022,6866,2631
"41359","Isnos",2022,19864,6277
"41378","La Argentina",2022,8401,4977
"41396","La Plata",2022,37104,26300
"41483","Nátaga",2022,3982,2698
"41503","Oporapa",2022,9769,2347
"41518","Paicol",2022,3999,2833
"41524","Palermo",2022,14510,12812
"41530","Palestina",2022,9847,1735
"41548","Pital",2022,9185,4968
"41551","Pitalito",2022,54539,76203
"41615","Rivera",2022,13464,12080
"41660","Saladoblanco",2022,8899,1839
"41668","San Agustín",2022,22961,11320
"41676","Santa María",2022,8132,2500
"41770","Suaza",2022,18591,4511
"41791","Tarqui",2022,12451,5565
"41797","Tesalia",2022,5652,5450
"41799","Tello",2022,6713,5278
"41801","Teruel",2022,3892,4333
"41807","Timaná",2022,14610,7818
"41872","Villavieja",2022,4968,2389
"41885","Yaguará",2022,1348,6603
"44000","La Guajira",2022,503707,498687
"44001","Riohacha",2022,55816,153672
"44035","Albania",2022,13729,19765
"44078","Barrancas",2022,20323,19478
"44090","Dibulla",2022,37082,6581
"44098","Distracción",2022,7464,7324
"44110","El Molino",2022,436,7742
"44279","Fonseca",2022,4991,41241
"44378","Hatonuevo",2022,8198,14675
"44420","La Jagua del Pilar",2022,1341,2638
"44430","Maicao",2022,67662,124423
"44560","Manaure",2022,84000,12991
"44650","San Juan del Cesar",2022,14829,36634
"44847","Uribia",2022,185179,12148
"44855","Urumita",2022,1140,10548
"44874","Villanueva",2022,1517,28827
"47000","Magdalena",2022,458618,1004809
"47001","Santa Marta",2022,57319,495072
"47030","Algarrobo",2022,6264,10950
"47053","Aracataca",2022,17521,25024
"47058","Ariguaní",2022,12226,20375
"47161","Cerro San Antonio",2022,4703,5490
"47170","Chibolo",2022,9211,14775
"47189","Ciénaga",2022,14736,112758
"47205","Concordia",2022,7142,4372
"47245","El Banco",2022,28540,42944
"47258","El Piñón",2022,16994,7705
"47268","El Retén",2022,4802,16789
"47288","Fundación",2022,11197,61083
"47318","Guamal",2022,20140,8486
"47460","Nueva Granada",2022,13111,8596
"47541","Pedraza",2022,6542,2984
"47545","Pijiño del Carmen",2022,7208,6030
"47551","Pivijay",2022,17061,22901
"47555","Plato",2022,15736,49905
"47570","Puebloviejo",2022,22786,10225
"47605","Remolino",2022,4407,7825
"47660","Sabanas de San Ángel",2022,12433,4719
"47675","Salamina",2022,3963,7619
"47692","San Sebastián de Buenavista",2022,15017,6204
"47703","San Zenón",2022,11454,1303
"47707","Santa Ana",2022,11969,14768
"47720","Santa Bárbara de Pinto",2022,4500,7084
"47745","Sitionuevo",2022,14827,15078
"47798","Tenerife",2022,7247,6599
"47960","Zapayán",2022,6853,4031
"47980","Zona Bananera",2022,72709,3115
"50000","Meta",2022,258729,821977
"50001","Villavicencio",2022,44263,509910
"50006","Acacías",2022,22629,70694
"50110","Barranca de Upía",2022,1913,4771
"50124","Cabuyaro",2022,3167,3124
"50150","Castilla La Nueva",2022,9627,6538
"50223","Cubarral",2022,2457,4725
"50226","Cumaral",2022,8146,15422
"50245","El Calvario",2022,1075,604
"50251","El Castillo",2022,4676,2851
"50270","El Dorado",2022,2589,1446
"50287","Fuente de Oro",2022,5405,7182
"50313","Granada",2022,11629,60096
"50318","Guamal",2022,4810,9887
"50325","Mapiripán",2022,4775,2496
"50330","Mesetas",2022,6160,4438
"50350","La Macarena",2022,23778,4730
"50370","Uribe",2022,7481,2153
"50400","Lejanías",2022,6604,4737
"50450","Puerto Concordia",2022,5199,3508
"50568","Puerto Gaitán",2022,22388,21926
"50573","Puerto López",2022,12099,18700
"50577","Puerto Lleras",2022,6478,4042
"50590","Puerto Rico",2022,6459,6622
"50606","Restrepo",2022,6373,12585
"50680","San Carlos de Guaroa",2022,6434,6650
"50683","San Juan de Arama",2022,4525,4482
"50686","San Juanito",2022,570,693
"50689","San Martín",2022,7468,19457
"50711","Vistahermosa",2022,9552,7508
